Name,Credits,Grade,States Code,Description
The Graphic Novel,2.5 credits ,Elective Grades 9-12 [1673],State Course Code [01061],The objective of this semester elective is to introduce students to an expanding form of literature: the graphic  novel. Students will read different graphic novels and learn about the background
Literature and Social Justice,2.5 credits,Elective Grades 10-12 [1893],State Course Code,"[01065] This semester-long elective course will be open to students who have an interest in social justice fiction and  nonfiction, as well as community service. Students must have taken ninth"
Honors Art Major III – Concurrent Enrollment Elective,5 credits ,Elective Grades 9-12 [8153],State Course Code [05162] ,This semester class is designed for students who are interested in the field of Graphic Design and will focus on the  use of the state-of-the-art professional software programs Adobe Photoshop
Advanced Graphic Design,2.5 credits ,Elective Grades 9-12 [8157],State Course Code [05162] ,PREREQUISITE: Graphic Design This semester class is designed for students who are serious about the field of Graphic Design. Students will  master their skills using Adobe Photoshop and Adobe Illustrator. Unlike
Orchestra,5 credits ,Elective Grades 9-12 [8927],State Course Code [05104] ,"This performance-based course is designed for the student who plays violin, viola, cello, bass or harp. Students  who play woodwind and brass instruments are welcome to enroll in Orchestra; however,"
Algebra I,5 credits ,Elective Grades 9-12 [3393],State Course Code,"[02052] This course is organized around families of functions with particular emphasis on linear and quadratic functions.  Students will learn to represent functions in multiple ways, to model real-world situations"
Geometry,5 credits ,Elective Grades 9-12 [3453]    Advanced [3451],State Course Code [02072] ,"PREREQUISITE: Algebra I  PREREQUISITE FOR ADVANCED (Grade 9): Minimum grade of A- in Algebra 8 , Qualifying Score on Department  Assessment(s), AND Teacher Recommendation  PREREQUISITE FOR ADVANCED (Grades 10-12): Minimum grade of"
Biology,6 credits ,Elective Grades 10-12 [5450],State Course Code,[03056]  PREREQUISITES: A- in Honors/Advanced Science course AND Teacher Recommendation  CO-REQUISITE: Honors Chemistry (for grade 10) AP Biology is an introductory college-level biology course. Students cultivate their understanding of biology  through inquiry-based investigations as they explore the following topics:
Advanced Placement (AP) Physics 2,7 credits ,Elective Grades 10-12 [5750],State Course Code [03152] ,"PREREQUISITES: AP Physics 1 or minimum grade of A- in Physics AND teacher recommendation  CO-REQUISITE: Pre-Calculus AP Physics 2 is an algebra-based, introductory college-level physics course. Students cultivate their understanding"
Advanced Placement (AP) Physics C,7 credits ,Elective Grades 11-12 [5803],State Course Code [03003] ,"PREREQUISITES: Biology, Chemistry Environmental Science is a college preparatory course. The course focuses on the study of ecosystems, limiting  laws, and the various interactions between humans and their environment. Topics include"
Advanced Placement (AP) Environmental Science,7 credits ,Elective Grades 11-12 [5800],State Course Code [03207] ,"PREREQUISITES: Minimum grade of A- in Advanced Biology AND Honors Chemistry AND Teacher  Recommendation The AP Environmental Science course is designed to engage students with the scientific principles, concepts, and "
Forensic Science – Concurrent Enrollment Elective,2.5 credits ,Elective Grades 11-12 [5806] One Semester,State Course Code [03053] ,PREREQUISITE: Minimum grade of a B- in Advanced Biology AND Honors Chemistry; OR a minimum grade of  A- in CP Biology and CP Chemistry OR Teacher Recommendation This one semester course offers students a detailed study of
Dynamics of Health Care in Society – Concurrent Enrollment Elective,2.5 credits ,Elective Grades 10-12 [5823],State Course Code [03999] ,"PREREQUISITE: Minimum grade of a B- in Advanced Biology, A- in CP Biology, OR Teacher Recommendation  Students may choose to earn college credit for this course through a concurrent enrollment elective offered in  conjunction with Rutgers University. This course is an orientation to health care and delivery, with a focus on critical thinking, ethical reasoning,  effective communication, and self ‐ directed learning abilities. Emphasis is placed on the role of the health care  practitioner as both provider and consumer of health care services.  Students in the program gain a solid  foundation in the health sciences, and their experience with college level course work enhances academic skill  development. Upon successful completion of the course, students are eligible to take the Rutgers School of Health"
Honors U.S. History II -- Concurrent Enrollment Elective,5 credits ,Grades 10-12 [2733] One Semester,State Course Code [04166] ,Students may choose to earn college credit for this course through a concurrent enrollment elective offered in  conjunction with the Middle College Program at Fairleigh Dickinson University. This one-semester course will offer students the opportunity to deepen their understanding
Introduction to Human Behavior,5 credits ,Elective Grades 10-12 [2673],State Course Code [04260] ,"Students may choose to earn college credit for this course through a concurrent enrollment elective offered in  conjunction with Bergen Community College . This course combines a semester introduction to the psychology behind the mind and human behavior and a semester of sociology, or the study of the development, function, and structure of human society, into one full year class. The first semester will introduce students to the study of human behavior and mental processes of individuals. Students will be exposed to psychological theories, principles, and phenomena while learning that human behavior is a culmination of biological, social, and perceptual factors that combine to influence and create an individual. In the second semester, students will study the larger social context of human behavior as opposed to that of individuals. Students will analyze group structures and dynamics, social norms, and cultural influences on socialization and how each person acts as a contributing member of society. Students may choose to earn college credit in Psychology at Bergen Community College for completion of this course."
"Dictators, Human Rights, and Social Justice",5 credits,Grades 10-12,State Course Code,"[04305] NOTE: This course will be offered in the 2022-2023 school year and then every other year thereafter; this  course will not be offered in the 2023-2024 school year. This course will examine the role of upstanders and bystanders in the history of human rights from the twentieth century through today. By employing the case method of study, students will analyze historical and contemporary responses of individuals, governments, and non-governmental institutions to human rights violations. Students in the course will also be able to partner with TEEEM (The Empathy Equality Entrepreneurship Mission) to apply their learning to support an international non-profit organization that seeks to support causes steeped in these historical cases. Students will extrapolate key lessons about social justice, global intervention, and international relations, with the goal of analyzing how nations overcame these challenging periods in history. Topics of study will include the origins of, responses to, and legacies of the Apartheid in South Africa, Decolonization in Kenya, the Holocaust, the Soviet Union and Europe behind the Iron Curtain, and China during and after the rule of Mao Zedong, among others. Students will evaluate responses to injustice and be tasked with researching and proposing solutions to"
Advanced Placement (AP) Psychology,5 credits,Grades 10-12   Advanced Placement [2660],State Course Code [04157] ,PREREQUISITES: Minimum grade of A- in Honors U.S. History I or Honors U.S. History II AND Teacher  Recommendation; OR Minimum grade of B- in AP U.S. History AND Teacher Recommendation The American Government course will provide students with a comprehensive
Advanced Placement (AP) European History,5 credits ,Elective Grades 11-12  [2810],State Course Code [04056] ,NOTE: This course will be offered in the 2021-2022 school year and then every other year thereafter.  PREREQUISITES: Minimum grade of A- in Honors U.S. History I or Honors U.S. History II AND Teacher  Recommendation; OR Minimum grade of B- in AP U.S. History AND Teacher Recommendation This AP course covers the history of Europe from
