Name,Credits,Grade,States Code,Description
Basic Art & Design (a foundation art class),2.5 credits ,Elective Grades 9-12 [8003],State Course Code [05151] ,"placeholder"
Drawing & Painting (a foundation art class),2.5 credits ,Elective Grades 9-12 [8013],State Course Code [05155] ,"placeholder"
Sculpture/Ceramics (a foundation art class),2.5 credits ,Elective Grades 9-12 [8023],State Course Code [05158] ,"placeholder"
Advanced Sculpture/Ceramics (may be repeated),2.5 credits ,Elective Grades 9-12 [8022],State Course Code [05159] ,"placeholder"
Art History: Antiquity to Post-Modern,2.5 credits ,Elective Grades 9-12 [8173],State Course Code [05152] ,"placeholder"
Art Major I,5 credits ,Elective Grades 10-12 [8113],State Course Code [05154] ,"placeholder"
Art Major II,5 credits ,Elective Grades 11-12 [8123],State Course Code [05170] ,"placeholder"
Honors Art Major III – Concurrent Enrollment Elective,5 credits ,Elective Grades 9-12 [8153],State Course Code [05162] ,"placeholder"
Media Arts,5 credits ,Elective Grade 12 [8161],State Course Code [05199] ,"placeholder"
Graphic Design,2.5 credits ,Elective Grades 9-12 [8153],State Course Code [05162] ,"placeholder"
Advanced Graphic Design,2.5 credits ,Elective Grades 9-12 [8157],State Course Code [05162] ,PREREQUISITE: Graphic Design This semester class is designed for students who are serious about the field of Graphic Design. Students will  master their skills using Adobe Photoshop and Adobe Illustrator. Unlike
Photo I - Introduction to Digital Photography,2.5 credits ,Elective Grades 9-12 [8213],State Course Code [05167] ,"placeholder"
Photo II,2.5 credits ,Elective Grades 9-12 [8223],State Course Code [05167] ,"placeholder"
Photo III – Concurrent Enrollment Elective,2.5 credits ,Elective Grades 10-12 [8233],State Course Code [05167] ,"placeholder"
Honors Digital Photography,2.5 credits ,Elective Grade 10-12 [8231],State Course Code [05201] ,"placeholder"
"Music Production I, II, III, IV Concurrent Enrollment Elective",2.5 credits ,Elective Grades 10-12 Lab I [8413] Lab II [8415] Lab III [8417] Lab IV [8419],State Course Code [11051] ,"placeholder"
"Music Theory Lab I, II, III, and IV",2.5 credits ,Elective Grades 10-12 Lab I [8513] Lab II [8523] Lab III [8533] Lab IV [8543],State Course Code [05113] ,"placeholder"
High School Concert Band,5 credits ,Elective Grades 9-12 [8923] Grade 12 Honors [8931],State Course Code [05101] ,"placeholder"
Honors Concert Band,5 credits ,Elective Grades 12 [8923] Grade 12 Honors [8931],State Course Code [05101] ,"placeholder"
Concert Choir,5 credits ,Elective Grades 9-12 [8703],State Course Code [05110] ,"placeholder"
Honors Concert Choir -- Concurrent Enrollment Elective,5 credits ,Elective Grade 12 [8701],State Course Code [05110] ,"placeholder"
Orchestra,5 credits ,Elective Grades 9-12 [8927],State Course Code [05104] ,"This performance-based course is designed for the student who plays violin, viola, cello, bass or harp. Students  who play woodwind and brass instruments are welcome to enroll in Orchestra; however,"
Honors Orchestra,5 credits ,Elective Grades 9-12 [8927],State Course Code [05104] ,"This performance-based course is designed for the student who plays violin, viola, cello, bass or harp. Students  who play woodwind and brass instruments are welcome to enroll in Orchestra; however,"
Theatre Arts I – A and B,2.5 credits ,Elective Grades 9-12 One Semester,State Course Code [05055] ,"placeholder"
Theatre Arts II,5 credits ,Elective Grades 10-12 [1792],State Course Code [05055] ,"placeholder"
Theatre Arts III,5 credits ,Elective Grades 11-12 [1793],State Course Code [05055] ,"placeholder"
Honors Theatre Arts IV,5 credits ,Elective Grade 12 [1794],State Course Code [05055] ,"placeholder"
